Meal_ID,Name,Calories,Protein,Carbs,Fat,Type,Meal_Type,Goal,Tags
M0001,Oats with Banana #1,358,10g,58g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0002,Poha #2,273,6g,44g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0003,Idli with Sambar #3,324,9g,51g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0004,Grilled Chicken with Rice #4,424,40g,53g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0005,Rajma Chawal #5,487,19g,71g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0006,Paneer Bhurji with Roti #6,423,21g,36g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0007,Moong Dal Khichdi #7,321,10g,50g,6g,Veg,dinner,weight_loss,"dinner, light"
M0008,Chicken Curry with Chapati #8,494,35g,36g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0009,Vegetable Pulao with Curd #9,432,10g,56g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0010,Oats with Banana #10,355,12g,62g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0011,Poha #11,229,6g,37g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0012,Idli with Sambar #12,271,6g,45g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0013,Grilled Chicken with Rice #13,458,39g,53g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0014,Rajma Chawal #14,498,18g,75g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0015,Paneer Bhurji with Roti #15,385,22g,40g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0016,Moong Dal Khichdi #16,300,14g,44g,7g,Veg,dinner,weight_loss,"dinner, light"
M0017,Chicken Curry with Chapati #17,488,35g,43g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0018,Vegetable Pulao with Curd #18,423,10g,56g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0019,Oats with Banana #19,350,8g,65g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0020,Poha #20,229,6g,43g,4g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0021,Idli with Sambar #21,313,8g,54g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0022,Grilled Chicken with Rice #22,440,40g,53g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0023,Rajma Chawal #23,494,16g,68g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0024,Paneer Bhurji with Roti #24,415,18g,31g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0025,Moong Dal Khichdi #25,302,12g,50g,5g,Veg,dinner,weight_loss,"dinner, light"
M0026,Chicken Curry with Chapati #26,476,36g,44g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0027,Vegetable Pulao with Curd #27,426,12g,60g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0028,Oats with Banana #28,343,9g,58g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0029,Poha #29,259,5g,42g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0030,Idli with Sambar #30,276,10g,46g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0031,Grilled Chicken with Rice #31,436,42g,47g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0032,Rajma Chawal #32,487,19g,71g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0033,Paneer Bhurji with Roti #33,392,18g,34g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0034,Moong Dal Khichdi #34,327,12g,43g,7g,Veg,dinner,weight_loss,"dinner, light"
M0035,Chicken Curry with Chapati #35,502,35g,43g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0036,Vegetable Pulao with Curd #36,474,11g,65g,7g,Veg,dinner,maintenance,"dinner, balanced"
M0037,Oats with Banana #37,363,10g,59g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0038,Poha #38,232,4g,43g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0039,Idli with Sambar #39,301,9g,55g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
